id	category	name	description	xref	provided_by	synonym	deprecated	iri	same_as	subsets
MONDO:1011687	biolink:Disease	cyclic neutropenia, non-human animal		OMIA:000248	mondo.json			http://purl.obolibrary.org/obo/MONDO_1011687		
MONDO:1011688	biolink:Disease	congenital dyserythropoietic anemia with dyskeratosis and progressive alopecia, non-human animal		OMIA:000313	mondo.json			http://purl.obolibrary.org/obo/MONDO_1011688		
MONDO:1011689	biolink:Disease	hemolytic anemia, non-human animal		OMIA:000430	mondo.json			http://purl.obolibrary.org/obo/MONDO_1011689		
MONDO:1011690	biolink:Disease	primary autoimmune hemolytic anemia, non-human animal		OMIA:000434	mondo.json			http://purl.obolibrary.org/obo/MONDO_1011690		
MONDO:1011691	biolink:Disease	platelet function defect, non-human animal		OMIA:000803	mondo.json			http://purl.obolibrary.org/obo/MONDO_1011691		
MONDO:1011692	biolink:Disease	protein C deficiency, non-human animal		OMIA:000835	mondo.json			http://purl.obolibrary.org/obo/MONDO_1011692		
MONDO:1011693	biolink:Disease	reduced glutathione deficiency due to GCS deficiency, non-human animal		OMIA:000853	mondo.json			http://purl.obolibrary.org/obo/MONDO_1011693		
MONDO:1011694	biolink:Disease	thrombasthenia, non-human animal		OMIA:001000	mondo.json			http://purl.obolibrary.org/obo/MONDO_1011694		
MONDO:1011695	biolink:Disease	thrombopathia, non-human animal		OMIA:001003	mondo.json			http://purl.obolibrary.org/obo/MONDO_1011695		
MONDO:1011696	biolink:Disease	stomatocytosis and gastrits, non-human animal		OMIA:001178	mondo.json			http://purl.obolibrary.org/obo/MONDO_1011696		
MONDO:1011697	biolink:Disease	hemophagocytic syndrome, non-human animal		OMIA:001229	mondo.json			http://purl.obolibrary.org/obo/MONDO_1011697		
MONDO:1011698	biolink:Disease	reduced glutathione deficiency due to amino-acid transport defect, non-human animal		OMIA:001234	mondo.json			http://purl.obolibrary.org/obo/MONDO_1011698		
MONDO:1011699	biolink:Disease	reduced glutathione deficiency, non-human animal		OMIA:001235	mondo.json			http://purl.obolibrary.org/obo/MONDO_1011699		
MONDO:1011700	biolink:Disease	trapped neutrophil syndrome, non-human animal		OMIA:001428	mondo.json			http://purl.obolibrary.org/obo/MONDO_1011700		
MONDO:1011701	biolink:Disease	combined deficiency of factors IX and XII, non-human animal		OMIA:001526	mondo.json			http://purl.obolibrary.org/obo/MONDO_1011701		
MONDO:1011702	biolink:Disease	neonatal pancytopenia, non-human animal		OMIA:001539	mondo.json			http://purl.obolibrary.org/obo/MONDO_1011702		
MONDO:1011703	biolink:Disease	selective ADP deficiency, non-human animal		OMIA:001792	mondo.json			http://purl.obolibrary.org/obo/MONDO_1011703		
MONDO:1011704	biolink:Disease	exercise-induced pulmonary hemorrhage, non-human animal		OMIA:001896	mondo.json			http://purl.obolibrary.org/obo/MONDO_1011704		
MONDO:1011705	biolink:Disease	combined deficiency of factors VIII, IX, and X, non-human animal		OMIA:001983	mondo.json			http://purl.obolibrary.org/obo/MONDO_1011705		
MONDO:1011706	biolink:Disease	atypical thrombasthenia, non-human animal		OMIA:002272	mondo.json			http://purl.obolibrary.org/obo/MONDO_1011706		
