source	target
UMLS:C1562036	MONDO:0005101
CHEBI:27300	MONDO:0005101
MESH:D007136	MONDO:0005101
CHEBI:2981	MONDO:0005101
CHEBI:26596	MONDO:0005101
UMLS:C1611640	MONDO:0005101
UNII:FU77B4U5Z0	MONDO:0005101
CHEBI:9555	MONDO:0005101
CHEBI:9334	MONDO:0005101
UMLS:C3854325	MONDO:0005101
UMLS:C0005525	MONDO:0005101
CHEBI:71200	MONDO:0005101
CHEBI:18154	MONDO:0005101
UMLS:C1171350	MONDO:0005101
CHEBI:35341	MONDO:0005101
CHEBI:8382	MONDO:0005101
CHEBI:24261	MONDO:0005101
CHEBI:3001	MONDO:0005101
UMLS:C0040616	MONDO:0005101
CHEBI:3897	MONDO:0005101
CHEBI:17688	MONDO:0005101
CHEBI:6909	MONDO:0005101
MESH:D011355	MONDO:0005101
UMLS:C0301336	MONDO:0005101
MESH:D007166	MONDO:0005101
CHEBI:7770	MONDO:0005101
UMLS:C1527392	MONDO:0005101
UMLS:C0005522	MONDO:0005101
PUBCHEM.COMPOUND:667490	MONDO:0005101
MESH:D006495	MONDO:0005101
CHEBI:4031	MONDO:0005101
MESH:D000305	MONDO:0015264
CHEBI:4672	UMLS:C0205699
PUBCHEM.COMPOUND:132508503	UMLS:C0205699
CHEBI:35610	UMLS:C0205699
PUBCHEM.COMPOUND:5460033	UMLS:C0205699
CHEBI:45863	UMLS:C0205699
PUBCHEM.COMPOUND:9887054	UMLS:C0205699
CHEBI:27504	UMLS:C0205699
CHEBI:27882	HP:0001395
UMLS:C0003451	HP:0001395
UMLS:C0003015	HP:0001395
CHEBI:9908	HP:0001395
UMLS:C0243077	HP:0001395
CHEBI:44185	HP:0001395
CHEBI:473990	HP:0001395
CHEBI:63580	HP:0001395
PUBCHEM.COMPOUND:71306834	HP:0001395
CHEBI:63632	MONDO:0020311
UMLS:C0450442	MONDO:0020311
CHEBI:15365	UMLS:C0262469
PUBCHEM.COMPOUND:22976653	UMLS:C0262469
UMLS:C0005525	MONDO:0700226
PUBCHEM.COMPOUND:10150081	MONDO:0019439
CHEBI:6432	UMLS:C0554021
CHEBI:74947	UMLS:C0554021
UMLS:C0450442	UMLS:C0554021
MESH:D006397	UMLS:C0554021
UMLS:C0013227	NCIT:C41362
MESH:D000305	MONDO:0011959
CHEBI:25805	MONDO:0004731
CHEBI:27690	MONDO:0004731
