source,target
CHEBI:132774,MONDO:0002280
CHEBI:17650,MONDO:0006545
UNII:DE2O63YV8R,MONDO:0005148
RXCUI:2283226,MONDO:0021187
UNII:QEN1X95CIX,MONDO:0007256
CHEBI:3310,MONDO:0000328
CHEBI:6030,MONDO:0004375
UNII:6ZA31Y954Z,MONDO:0005083
RXCUI:1162650,MONDO:0010481
CHEBI:63791,MONDO:0009693
UNII:TL60C27RLH,MONDO:0020088
RXCUI:2184139,MONDO:0100338
CHEBI:47381,MONDO:0005277
UNII:B72HH48FLU,MONDO:0005083
PUBCHEM.COMPOUND:24847800,MONDO:0005068
CHEBI:4027,MONDO:0005062
CHEBI:176844,UMLS:C3897731
RXCUI:284756,MONDO:0005109
CHEBI:60648,MONDO:0018077
CHEBI:5120,MONDO:0007254
CHEBI:6888,MONDO:0005885
UNII:UMD7G2653W,MONDO:0043455
RXCUI:2184139,MONDO:0030603
CHEBI:71940,MONDO:0015924
PUBCHEM.COMPOUND:69806533,NCIT:C178565
CHEBI:9620,MONDO:0005984
CHEBI:31617,MONDO:0009693
CHEBI:31270,MONDO:0015924
CHEBI:17750,MONDO:0009353
CHEBI:16962,MONDO:0004979
PUBCHEM.COMPOUND:58031892,MONDO:0005155
CHEBI:192617,MONDO:0003471
PUBCHEM.COMPOUND:58827053,MONDO:0018912
UNII:1RXS4UE564,UMLS:C0340535
CHEBI:71193,MONDO:0011122
PUBCHEM.COMPOUND:5353705,MONDO:0006896
CHEBI:204928,MONDO:0005246
UNII:7K5O7P6QIU,MONDO:0044889
CHEBI:17650,MONDO:0005883
CHEBI:7773,HP:0002017
UNII:D99YVK4L0X,MONDO:0007256
UNII:8K80YB5GMG,MONDO:0018768
RXCUI:1152286,MONDO:0005068
UNII:XJ6OT32M93,MONDO:0002406
PUBCHEM.COMPOUND:19830541,MONDO:0005180
UNII:4F4X42SYQ6,MONDO:0018905
CHEBI:85966,MONDO:0005021
CHEBI:64318,MONDO:0043537
CHEBI:77733,HP:0004755
RXCUI:1304557,MONDO:0024298
CHEBI:70718,MONDO:0021201
UNII:2GFP9BJD79,MONDO:0034212
CHEBI:27779,MONDO:0001628
CHEBI:8772,MONDO:0006256
CHEBI:10119,MONDO:0020575
CHEBI:3746,UMLS:C0851989
CHEBI:50845,MONDO:0005834
CHEBI:3077,MONDO:0005093
CHEBI:2038,MONDO:0018881
CHEBI:8890,MONDO:0019098
CHEBI:3387,MONDO:0016372
CHEBI:17650,MONDO:0015274
CHEBI:44185,MONDO:0005011
RXCUI:1603837,UMLS:C0949083
UNII:71492GE1FX,MONDO:0100470
CHEBI:81916,MONDO:0001684
UNII:Z633861EIM,MONDO:0016605
CHEBI:15640,MONDO:0034212
CHEBI:16914,UMLS:C0009938
CHEBI:71013,MONDO:0006710
CHEBI:140407,MONDO:0021201
CHEBI:6060,HP:0001681
MESH:C000606659,MONDO:0005015
CHEBI:2955,MONDO:0001039
RXCUI:1156610,HP:0001681
CHEBI:8069,UMLS:C3536631
CHEBI:81569,MONDO:0005047
CHEBI:16962,MONDO:0018229
PUBCHEM.COMPOUND:16213489,MONDO:0004247
CHEBI:79040,MONDO:0004849
PUBCHEM.COMPOUND:135398743,MONDO:0018076
CHEBI:60648,MONDO:0005119
UNII:PP0SHH6V16,HP:0003124
CHEBI:229225,MONDO:0005148
PUBCHEM.COMPOUND:45357387,MONDO:0005823
CHEBI:8428,HP:0004308
PUBCHEM.COMPOUND:11982821,HP:0003124
RXCUI:1162127,MONDO:0005015
CHEBI:6923,MONDO:0006014
CHEBI:17833,HP:0031292
CHEBI:76015,MONDO:0002050
UNII:0CA0VSF91Y,MONDO:0005340
CHEBI:8382,UMLS:C1290158
CHEBI:5856,MONDO:0005310
CHEBI:16962,MONDO:0005377
DRUGBANK:DB13150,MONDO:0010602
UNII:3A189DH42V,MONDO:0005314
CHEBI:3508,MONDO:0004522
PUBCHEM.COMPOUND:74763996,MONDO:0005249
RXCUI:1151608,MONDO:0007263
CHEBI:28971,MONDO:0024355
RXCUI:2570392,MONDO:0005090
RXCUI:1602752,MONDO:0018612
CHEBI:194135,MONDO:0021201
CHEBI:3423,MONDO:0019781
CHEBI:22652,MONDO:0005137
PUBCHEM.COMPOUND:156963654,MONDO:0005494
CHEBI:22907,UMLS:C0080032
CHEBI:47426,HP:0000969
UNII:6T8C155666,MONDO:0005086
CHEBI:18208,MONDO:0700217
UNII:ZJ0EKR6M10,MONDO:0008315
CHEBI:3638,MONDO:0002492
CHEBI:63916,MONDO:0017148
CHEBI:27690,MONDO:0100574
CHEBI:4735,MONDO:0005044
UNII:6GNT3Y5LMF,MONDO:0004592
CHEBI:6888,MONDO:0005848
CHEBI:5931,HP:0001993
CHEBI:63580,MONDO:0005231
CHEBI:8874,UMLS:C0236960
CHEBI:18385,MONDO:0005252
DRUGBANK:DB16410,MONDO:0700079
CHEBI:8865,MONDO:0005812
RXCUI:802692,UMLS:C0271903
CHEBI:127780,MONDO:0005132
CHEBI:64355,MONDO:0018881
CHEBI:16914,MONDO:0100017
UNII:2XOI31YC4N,MONDO:0018076
CHEBI:59594,UMLS:C0342882
CHEBI:29101,HP:0001892
CHEBI:5538,HP:0002018
CHEBI:63791,MONDO:0004948
CHEBI:2637,MONDO:0005230
CHEBI:28748,MONDO:0005140
CHEBI:3647,MONDO:0005526
CHEBI:46081,MONDO:0005249
PUBCHEM.COMPOUND:19830541,MONDO:0007488
DRUGBANK:DB16647,EFO:0007982
PUBCHEM.COMPOUND:129011819,MONDO:0008159
CHEBI:32044,MONDO:0010679
CHEBI:8378,MONDO:0019735
RXCUI:2055806,MONDO:0004951
CHEBI:17347,UMLS:C1963961
CHEBI:63628,MONDO:0004951
CHEBI:6541,MONDO:0005016
CHEBI:29688,MONDO:0005867
RXCUI:2565805,MONDO:0011438
CHEBI:8890,UMLS:C5441648
CHEBI:49618,MONDO:0007254
CHEBI:9754,MONDO:0000745
RXCUI:803369,MONDO:0005790
CHEBI:41423,MONDO:0005306
CHEBI:135679,UMLS:C0339164
CHEBI:3515,MONDO:0019632
PUBCHEM.COMPOUND:138713709,MONDO:0022205
CHEBI:31498,MONDO:0005093
PUBCHEM.COMPOUND:178438,MONDO:0019186
UNII:4F4X42SYQ6,MONDO:0005556
CHEBI:45783,HP:0004848
RXCUI:216653,MONDO:0001106
UNII:5384HK7574,MONDO:0005233
CHEBI:17833,MONDO:0002307
CHEBI:29688,MONDO:0006878
DRUGBANK:DB16536,MONDO:0017612
PUBCHEM.COMPOUND:11979316,MONDO:0005468
DRUGBANK:DB00083,UMLS:C1996997
UNII:JG8OB4UL9Y,MONDO:0008383
UNII:QC4G8XS0H0,MONDO:0001628
CHEBI:63635,MONDO:0000878
