drug,disease
CHEBI:93248,UMLS:C0339933
CHEBI:161680,UMLS:C2887096
PUBCHEM.COMPOUND:49863420,UMLS:C2062473
UNII:5384HK7574,MONDO:0006244
CHEBI:135809,UMLS:C0080203
CHEBI:27902,MONDO:0004854
CHEBI:63632,MONDO:0008903
CHEBI:5001,UMLS:C1282512
CHEBI:2618,HP:0002071
UNII:X89XV46R07,UMLS:C0203668
UNII:TRF8S0U6ON,MONDO:0010674
CHEBI:94820,HP:0000011
CHEBI:18357,MONDO:0003781
GO:0030520,HP:0031217
CHEBI:27732,MONDO:0043537
CHEBI:22652,MONDO:0009412
CHEBI:17151,UMLS:C1960644
CHEBI:8378,MONDO:0005101
CHEBI:4974,MONDO:0004609
CHEBI:17650,MONDO:0019444
CHEBI:6897,MONDO:0005338
CHEBI:471744,UMLS:C0856695
CHEBI:4027,MONDO:0019438
CHEBI:28971,MONDO:0005545
CHEBI:6061,MONDO:0005252
CHEBI:8768,MONDO:0007186
CHEBI:75988,MONDO:0002334
CHEBI:3504,UMLS:C0554628
CHEBI:79699,MONDO:0005086
CHEBI:8378,MONDO:0004857
CHEBI:64356,MONDO:0005027
CHEBI:17833,UMLS:C2887096
CHEBI:43968,MONDO:0006913
UNII:4F4X42SYQ6,MONDO:0018908
UNII:KG6VO684Z6,MONDO:0000901
CHEBI:135649,MONDO:0005618
CHEBI:7825,MONDO:0005915
CHEBI:75246,MONDO:0001711
CHEBI:7596,MONDO:0005044
CHEBI:8059,MONDO:0011122
CHEBI:50378,MONDO:0008753
CHEBI:100241,MONDO:0005972
UNII:3CF7K0SD0Q,HP:0002901
CHEBI:134833,MONDO:0008228
UNII:N824AOU5XV,MONDO:0019933
CHEBI:3699,MONDO:0007186
CHEBI:131391,HP:0002901
CHEBI:4031,MONDO:0008383
CHEBI:161680,UMLS:C0577709
CHEBI:100241,MONDO:0005246
CHEBI:17833,DOID:50360
CHEBI:9570,MONDO:0001187
CHEBI:50845,MONDO:0004277
CHEBI:205919,HP:0011123
CHEBI:3654,MONDO:0005044
CHEBI:3387,MONDO:0005027
CHEBI:6888,MONDO:0005011
UNII:PQX0D8J21J,MONDO:0004958
CHEBI:5855,MONDO:0005178
CHEBI:49566,UMLS:C0152965
CHEBI:480999,MONDO:0005233
CHEBI:31590,MONDO:0001220
CHEBI:9741,HP:0000989
CHEBI:50729,MONDO:0005089
CHEBI:8502,MONDO:0006996
CHEBI:5779,HP:0001742
CHEBI:135145,MONDO:0005298
CHEBI:204928,MONDO:0006753
CHEBI:31583,MONDO:0011918
CHEBI:32149,UMLS:C0426639
CHEBI:50819,MONDO:0001239
CHEBI:17630,UMLS:C1112209
CHEBI:6402,MONDO:0005100
CHEBI:49040,MONDO:0005010
CHEBI:92511,MONDO:0005642
CHEBI:63624,MONDO:0005344
CHEBI:114785,MONDO:0002367
CHEBI:15428,MONDO:0005709
CHEBI:31859,MONDO:0005466
CHEBI:2955,MONDO:0001797
CHEBI:29007,MONDO:0004652
CHEBI:50848,MONDO:0006651
CHEBI:51450,MONDO:0019340
CHEBI:94848,MONDO:0008015
CHEBI:230905,UMLS:C1562029
CHEBI:3499,UMLS:C0554628
CHEBI:27375,MONDO:0008903
CHEBI:6762,HP:0000989
CHEBI:18208,MONDO:0020544
PUBCHEM.COMPOUND:138713709,MONDO:0022205
CHEBI:28669,UMLS:C0854211
CHEBI:3732,UMLS:C0339932
CHEBI:4670,UMLS:C3839956
CHEBI:82521,HP:0012735
CHEBI:28445,MONDO:0005864
CHEBI:34903,UMLS:C1562029
CHEBI:3697,MONDO:0006669
CHEBI:134756,UMLS:C0600041
CHEBI:9587,UMLS:C0276088
CHEBI:17650,MONDO:0005984
CHEBI:4392,MONDO:0004842
CHEBI:31607,MONDO:0001860
CHEBI:8107,UMLS:C2711653
CHEBI:59750,UMLS:C0149922
CHEBI:7476,MONDO:0005277
CHEBI:4392,MONDO:0005119
CHEBI:63577,MONDO:0005109
CHEBI:2637,MONDO:0020920
CHEBI:64310,MONDO:0005233
CHEBI:16962,MONDO:0004967
CHEBI:6888,MONDO:0005306
UNII:G8RGG88B68,MONDO:0005354
CHEBI:8378,UMLS:C0033777
CHEBI:59788,HP:0025095
CHEBI:49375,UMLS:C0023474
UNII:T8B2ORP1DW,MONDO:0018328
CHEBI:17750,UMLS:C0520775
CHEBI:46195,HP:0001945
CHEBI:85078,MONDO:0005148
CHEBI:34911,MONDO:0003471
CHEBI:52017,MONDO:0005970
CHEBI:9453,MONDO:0006004
CHEBI:3994,MONDO:0006004
CHEBI:2208,MONDO:0005101
CHEBI:9720,MONDO:0021095
CHEBI:2676,MONDO:0041879
CHEBI:5557,MONDO:0005044
CHEBI:29013,HP:0100583
CHEBI:70718,UMLS:C0276089
CHEBI:6758,MONDO:0011918
CHEBI:161680,UMLS:C0276088
CHEBI:9448,UMLS:C1274469
CHEBI:5108,MONDO:0024343
CHEBI:2948,MONDO:0016367
CHEBI:63587,MONDO:0007254
CHEBI:194474,MONDO:0016367
UNII:6M3P64V0NC,MONDO:0007186
CHEBI:63791,MONDO:0017604
CHEBI:6746,MONDO:0006874
CHEBI:50845,MONDO:0002258
CHEBI:17688,MONDO:0008575
CHEBI:6762,MONDO:0006004
CHEBI:28925,MONDO:0002334
CHEBI:8887,MONDO:0005178
CHEBI:8232,MONDO:0100338
CHEBI:7823,MONDO:0011918
CHEBI:63115,MONDO:0005301
CHEBI:59224,UMLS:C3160898
CHEBI:133011,MONDO:0003781
UNII:280XQ6482H,UMLS:C0344106
CHEBI:177836,MONDO:0002898
CHEBI:50275,MONDO:0007186
GO:0030520,MONDO:0001196
UNII:Z80293URPV,MONDO:0005101
CHEBI:6532,MONDO:0001673
CHEBI:16962,MONDO:0002471
CHEBI:50845,MONDO:0019633
CHEBI:17650,MONDO:0019338
CHEBI:6888,MONDO:0015129
CHEBI:6437,HP:0002349
CHEBI:16899,MONDO:0009468
CHEBI:49566,UMLS:C0275556
CHEBI:10112,MONDO:0004979
CHEBI:5747,UMLS:C0426639
CHEBI:27899,MONDO:0001187
CHEBI:2637,MONDO:0040732
CHEBI:77733,MONDO:0004981
CHEBI:28445,MONDO:0009348
CHEBI:15940,HP:0003124
CHEBI:16962,MONDO:0015129
CHEBI:28864,MONDO:0005945
CHEBI:28934,MONDO:0001068
CHEBI:3515,MONDO:0020920
CHEBI:8430,UMLS:C0002921
CHEBI:48549,UMLS:C0342257
UNII:40SGR63TGL,MONDO:0005298
UNII:21904A5386,MONDO:0005867
CHEBI:75323,UMLS:C0267509
CHEBI:94810,MONDO:0004979
CHEBI:7735,MONDO:0024613
CHEBI:28971,MONDO:0002258
CHEBI:52132,MONDO:0005545
CHEBI:17833,MONDO:0005246
CHEBI:9667,UMLS:C2894027
CHEBI:2682,MONDO:0019360
CHEBI:6958,GO:0090075
CHEBI:134704,MONDO:0000945
CHEBI:6640,HP:0012531
CHEBI:18295,MONDO:0005178
CHEBI:7457,UMLS:C0412850
CHEBI:94615,MONDO:0004979
CHEBI:8214,MONDO:0005044
CHEBI:240107,HP:0012531
CHEBI:49662,MONDO:0004857
CHEBI:188153,UMLS:C3872606
CHEBI:78320,HP:0000958
CHEBI:31625,MONDO:0004577
CHEBI:9619,MONDO:0008383
CHEBI:82979,MONDO:0006014
CHEBI:28680,MONDO:0700219
CHEBI:3077,MONDO:0043455
CHEBI:3077,MONDO:0002081
CHEBI:16962,MONDO:0004980
CHEBI:116278,UMLS:C0520775
CHEBI:31355,MONDO:0007254
CHEBI:3561,MONDO:0005324
CHEBI:15891,UMLS:C0242739
CHEBI:59269,MONDO:0006004
UNII:GN465U8B72,MONDO:0004980
CHEBI:43871,MONDO:0005299
CHEBI:15760,HP:0003124
CHEBI:78320,MONDO:0005480
CHEBI:8357,HP:0000989
CHEBI:135047,MONDO:0007448
CHEBI:83766,MONDO:0021040
CHEBI:31252,MONDO:0013600
CHEBI:63607,MONDO:0005972
CHEBI:134911,MONDO:0008228
CHEBI:5384,MONDO:0005148
CHEBI:142290,MONDO:0002334
UNII:94X46KW4AE,UMLS:C0276223
CHEBI:28971,UMLS:C0520767
CHEBI:31166,MONDO:0005027
CHEBI:3077,MONDO:0004980
CHEBI:194135,MONDO:0005119
CHEBI:4708,MONDO:0010811
CHEBI:17561,UMLS:C0392164
CHEBI:31964,UMLS:C2887084
UNII:XSZ53G39H5,MONDO:0005417
CHEBI:204928,UMLS:C0577708
CHEBI:49575,HP:0001257
CHEBI:145430,MONDO:0018874
CHEBI:28864,MONDO:0004768
CHEBI:31183,MONDO:0008383
UNII:76RS4S2ET1,MONDO:0001516
CHEBI:31444,MONDO:0003781
CHEBI:70718,UMLS:C0276026
CHEBI:16947,MONDO:0024612
CHEBI:94718,MONDO:0007448
CHEBI:135921,MONDO:0005136
CHEBI:3534,HP:0000371
CHEBI:691037,MONDO:0015758
CHEBI:18208,MONDO:0005699
CHEBI:5296,MONDO:0005347
CHEBI:5971,MONDO:0006047
UNII:B72HH48FLU,MONDO:0005306
CHEBI:43968,EFO:0022612
DrugCentral:3875,MONDO:0011438
CHEBI:17750,MONDO:0005247
CHEBI:7451,MONDO:0005984
UNII:B72HH48FLU,MONDO:0011849
UNII:ZL1R02VT79,MONDO:0005417
CHEBI:59582,UMLS:C0406317
CHEBI:5120,MONDO:0008055
CHEBI:52010,MONDO:0007448
UNII:4FR53SIF3A,MONDO:0020511
CHEBI:16094,MONDO:0018754
CHEBI:194135,MONDO:0019345
UNII:DJJ95FJP1H,MONDO:0005178
CHEBI:71157,MONDO:0005266
CHEBI:8459,MONDO:0008294
CHEBI:29013,MONDO:0005808
CHEBI:9570,MONDO:0005062
CHEBI:17263,EFO:0006911
CHEBI:61276,MONDO:0006004
CHEBI:101278,HP:0004763
CHEBI:63587,MONDO:0005060
CHEBI:28001,UMLS:C0038157
CHEBI:61276,MONDO:0005709
CHEBI:2955,UMLS:C0856695
UNII:60UAB198HK,UMLS:C1562029
CHEBI:9337,MONDO:0007019
CHEBI:31677,MONDO:0002572
CHEBI:50692,MONDO:0041526
CHEBI:8412,MONDO:0005384
CHEBI:6923,MONDO:0001461
CHEBI:40303,MONDO:0005010
CHEBI:8357,MONDO:0004795
CHEBI:209807,UMLS:C0276088
CHEBI:9334,MONDO:0008383
CHEBI:3077,MONDO:0005306
CHEBI:135928,EFO:1001753
CHEBI:2948,MONDO:0008383
UNII:DJJ95FJP1H,HP:0001945
UNII:3A58010674,UMLS:C1960580
CHEBI:8232,UMLS:C1263758
CHEBI:9667,MONDO:0015758
CHEBI:31905,HP:0001681
CHEBI:3732,UMLS:C0276026
CHEBI:18208,MONDO:0042452
UNII:4W0459ZA4V,UMLS:C1698510
CHEBI:22907,MONDO:0005627
CHEBI:4470,HP:0012735
CHEBI:59118,HP:0002013
CHEBI:15676,MONDO:0024343
CHEBI:100241,UMLS:C0577709
CHEBI:27446,MONDO:0005952
CHEBI:31677,MONDO:0006547
CHEBI:45783,MONDO:0002334
CHEBI:204734,MONDO:0004979
CHEBI:135765,MONDO:0005377
CHEBI:5613,MONDO:0005485
CHEBI:8357,HP:0011123
UNII:UMD7G2653W,MONDO:0001566
CHEBI:71417,MONDO:0009348
CHEBI:27446,UMLS:C0041912
CHEBI:16335,HP:0004763
CHEBI:31162,MONDO:0005554
CHEBI:6888,MONDO:0005328
CHEBI:6762,HP:0001742
CHEBI:6888,MONDO:0011786
CHEBI:81862,MONDO:0004247
CHEBI:4027,MONDO:0004948
CHEBI:68579,MONDO:0005294
CHEBI:27902,MONDO:0004842
CHEBI:681848,HP:0002791
CHEBI:5134,MONDO:0004979
CHEBI:2637,MONDO:0005247
UNII:A3ULP0F556,MONDO:0016244
CHEBI:57589,UMLS:C0011268
CHEBI:15640,MONDO:0001056
CHEBI:8499,MONDO:0006500
CHEBI:16962,UMLS:C2894027
CHEBI:6149,UMLS:C0199008
UNII:2XOI31YC4N,MONDO:0100482
CHEBI:30769,HP:0031417
CHEBI:101278,HP:0001681
CHEBI:15407,MONDO:0005709
CHEBI:94718,HP:0001742
CHEBI:135499,HP:0000969
CHEBI:17750,MONDO:0004737
CHEBI:6923,MONDO:0001405
CHEBI:3534,UMLS:C0554628
CHEBI:8461,MONDO:0005324
CHEBI:3216,HP:0012532
CHEBI:42355,MONDO:0005828
CHEBI:6128,HP:0012531
CHEBI:16914,MONDO:0005178
CHEBI:15854,MONDO:0005136
UNII:K911R84KEW,UMLS:C4721209
CHEBI:17650,MONDO:0005265
PUBCHEM.COMPOUND:4786,HP:0025095
CHEBI:187893,UMLS:C1562430
CHEBI:8378,MONDO:0004577
CHEBI:18208,UMLS:C0017418
CHEBI:4710,MONDO:0004980
CHEBI:9331,UMLS:C0577708
CHEBI:4754,MONDO:0001405
CHEBI:10102,HP:0031354
UNII:333OX80X87,EFO:0009472
CHEBI:45367,UMLS:C0700226
CHEBI:3738,MONDO:0006004
CHEBI:28830,MONDO:0008170
UNII:2P471X1Z11,MONDO:0005324
CHEBI:8378,MONDO:0015274
UNII:953A26OA1Y,MONDO:0009061
HP:0007906,MONDO:0005338
CHEBI:8028,MONDO:0041086
CHEBI:36704,MONDO:0005173
CHEBI:31159,HP:0003418
CHEBI:64354,MONDO:0005044
CHEBI:49040,HP:0003124
CHEBI:16199,MONDO:0006547
CHEBI:81573,UMLS:C0029967
CHEBI:93826,UMLS:C0271638
CHEBI:52132,UMLS:C0154640
CHEBI:7476,HP:0012531
CHEBI:66903,MONDO:0005341
CHEBI:4562,MONDO:0005277
CHEBI:28864,EFO:1001421
CHEBI:135590,HP:0033050
CHEBI:16714,HP:0001945
CHEBI:3478,UMLS:C0554628
CHEBI:43415,HP:0012531
CHEBI:3561,MONDO:0005709
CHEBI:44185,MONDO:0007915
CHEBI:41879,MONDO:0002307
CHEBI:100241,MONDO:0006816
CHEBI:135772,MONDO:0004842
CHEBI:8069,UMLS:C2711653
UNII:25E79B5CTM,MONDO:0019476
CHEBI:133021,MONDO:0004948
CHEBI:136050,MONDO:0011438
CHEBI:41879,MONDO:0002334
CHEBI:4046,HP:0031417
CHEBI:6413,UMLS:C1562029
CHEBI:38545,HP:0003124
CHEBI:8378,MONDO:0015898
CHEBI:9649,UMLS:C1997351
CHEBI:94665,MONDO:0005812
CHEBI:135042,MONDO:0002154
CHEBI:31403,HP:0002018
UNII:S51J6N56M7,MONDO:0012084
UNII:AD4J2O47FQ,UMLS:C0342313
CHEBI:64356,MONDO:0005384
CHEBI:194135,UMLS:C0343402
CHEBI:5818,HP:0031417
CHEBI:94563,HP:0012531
CHEBI:194135,MONDO:0004277
UNII:9K8GNJ2874,MONDO:0005072
CHEBI:3738,HP:0031417
CHEBI:47381,MONDO:0008383
CHEBI:16080,MONDO:0005027
CHEBI:50848,MONDO:0020283
CHEBI:17823,UMLS:C0406317
CHEBI:5778,HP:0000969
CHEBI:6076,MONDO:0018312
CHEBI:76016,MONDO:0002009
CHEBI:33130,MONDO:0002268
UNII:1OQF7TT3PF,UMLS:C0577708
CHEBI:3077,MONDO:0005301
CHEBI:205919,MONDO:0006608
CHEMBL.COMPOUND:CHEMBL3084722,MONDO:0005052
CHEBI:34895,MONDO:0005133
CHEBI:135772,MONDO:0004277
CHEBI:3547,UMLS:C0729586
CHEBI:9587,UMLS:C0343402
CHEBI:50729,MONDO:0018874
CHEBI:4464,MONDO:0007448
CHEBI:116278,MONDO:0003781
CHEBI:41879,MONDO:0005306
CHEBI:8378,MONDO:0004979
CHEBI:9763,UMLS:C0276089
CHEBI:18258,MONDO:0005420
CHEBI:9728,MONDO:0006932
UNII:K16AIQ8CTM,MONDO:0006244
CHEBI:3478,MONDO:0001039
CHEBI:18258,UMLS:C0238298
CHEBI:554446,MONDO:0100338
CHEBI:32229,MONDO:0009067
UNII:55MOB566V7,MONDO:0005824
CHEBI:9683,MONDO:0005044
UNII:BTY153760O,MONDO:0011849
CHEBI:29013,MONDO:0019633
CHEBI:17650,MONDO:0019801
UNII:HPH1166CKX,MONDO:0008383
CHEBI:48947,UMLS:C1997728
CHEBI:74947,UMLS:C0343467
CHEBI:63627,MONDO:0005316
UNII:0WA1B15A1Z,MONDO:0004247
CHEBI:9919,HP:0032157
UNII:90ZX3Q3FR7,MONDO:0005011
CHEBI:2948,MONDO:0005301
CHEBI:28876,MONDO:0007254
CHEBI:16962,MONDO:0005642
CHEBI:7447,UMLS:C0520767
CHEBI:8378,UMLS:C2894027
CHEBI:6809,MONDO:0011122
CHEBI:85537,HP:0012735
CHEBI:6919,UMLS:C0155860
CHEBI:230846,MONDO:0019259
UNII:55MOB566V7,UMLS:C1696371
CHEBI:59219,UMLS:C0358514
UNII:X85G7936GV,UMLS:C1532338
CHEBI:8673,MONDO:0005136
CHEBI:3723,MONDO:0002009
CHEBI:4527,MONDO:0005424
GO:0007585,MONDO:0021113
CHEBI:18243,UMLS:C0581377
CHEBI:28669,MONDO:0003085
PUBCHEM.COMPOUND:6321415,UMLS:C0456107
UNII:4B93MGE4AL,MONDO:0003210
CHEBI:3732,UMLS:C1698510
CHEBI:9448,MONDO:0001461
CHEBI:50848,UMLS:C0406486
CHEBI:53248,HP:0025337
CHEBI:38545,MONDO:0002277
CHEBI:9774,GO:0090075
CHEBI:10023,HP:0020103
CHEBI:8232,UMLS:C0588233
CHEBI:3215,HP:0000989
CHEBI:73275,MONDO:0001196
CHEBI:18067,HP:0002901
CHEBI:134966,MONDO:0005027
CHEBI:18208,UMLS:C0275566
CHEBI:3756,MONDO:0016022
CHEBI:8382,MONDO:0005011
CHEBI:15676,NCIT:C50743
CHEBI:9448,UMLS:C0040250
UNII:T42NAD2KHC,MONDO:0002203
CHEBI:3437,MONDO:0005338
CHEBI:50848,MONDO:0001466
CHEBI:6823,MONDO:0010481
CHEBI:291342,MONDO:0005642
CHEBI:5530,UMLS:C0854211
CHEBI:4975,MONDO:0001126
CHEBI:135949,MONDO:0005149
CHEBI:31980,UMLS:C0013516
CHEBI:2208,MONDO:0004967
CHEBI:34903,MONDO:0018997
CHEBI:9637,MONDO:0005044
CHEBI:31184,MONDO:0006608
CHEBI:8378,MONDO:0011786
CHEBI:3183,NCIT:C78302
UNII:1RXS4UE564,HP:0002140
CHEBI:5779,HP:0031417
CHEBI:30746,MONDO:0019340
CHEBI:9150,MONDO:0005311
CHEBI:51380,MONDO:0005709
CHEBI:16199,MONDO:0024343
CHEBI:16962,MONDO:0043789
CHEBI:31677,MONDO:0015129
CHEBI:16134,UMLS:C0032743
CHEBI:3077,MONDO:0005393
UNII:7D0YB67S97,MONDO:0011429
CHEBI:9763,MONDO:0042451
CHEBI:6715,HP:0000869
CHEBI:52132,UMLS:C2887088
CHEBI:3515,UMLS:C0275652
CHEBI:31949,MONDO:0011918
CHEBI:404903,UMLS:C1112209
CHEBI:9667,MONDO:0004967
CHEBI:4591,MONDO:0000313
CHEBI:5002,MONDO:1030007
CHEBI:71260,MONDO:0007759
CHEBI:17347,HP:0000823
CHEBI:134923,MONDO:0013600
CHEBI:31941,MONDO:0001056
CHEBI:8378,MONDO:0017853
CHEBI:6792,UMLS:C1318955
CHEBI:30769,MONDO:0007186
CHEMBL.COMPOUND:CHEMBL2108334,MONDO:0010604
CHEBI:6805,UMLS:C0152516
CHEBI:100246,UMLS:C0577708
CHEBI:78870,MONDO:0018754
CHEBI:9884,MONDO:0004948
CHEBI:453011,MONDO:0000879
CHEBI:134958,MONDO:0006052
PUBCHEM.COMPOUND:4786,HP:0012735
CHEBI:27375,MONDO:0009519
CHEBI:135829,UMLS:C0276026
CHEBI:7735,MONDO:0005090
CHEBI:5855,HP:0001945
CHEBI:8481,MONDO:0004982
CHEBI:29013,MONDO:0005195
CHEBI:16962,HP:0012027
CHEBI:28487,MONDO:0005044
CHEBI:29013,UMLS:C0729587
CHEBI:3001,MONDO:0006314
CHEBI:134938,UMLS:C0265110
CHEBI:27796,HP:0002018
CHEBI:4470,MONDO:0021146
UNII:N7V53U4U4T,MONDO:0005230
CHEBI:28971,MONDO:0005972
CHEBI:8378,MONDO:0019122
CHEBI:9150,MONDO:0007759
CHEBI:5050,MONDO:0044212
CHEBI:3480,UMLS:C1997728
GO:0060096,MONDO:0002009
CHEBI:17650,MONDO:0041095
CHEBI:60761,MONDO:0001056
CHEBI:63611,MONDO:0005970
CHEBI:27732,HP:0003418
CHEBI:29007,MONDO:0004471
CHEBI:46081,MONDO:0005886
CHEBI:9352,MONDO:0005178
CHEBI:7903,MONDO:0005382
CHEBI:100246,UMLS:C0276026
CHEBI:135611,MONDO:0004795
CHEBI:31990,HP:0001742
CHEBI:7457,MONDO:0007079
CHEBI:45373,MONDO:0007019
CHEBI:15552,MONDO:0011786
CHEBI:17650,HP:0011123
CHEBI:2676,MONDO:0100338
CHEBI:6888,MONDO:0006684
CHEBI:7915,MONDO:0007186
CHEBI:29013,MONDO:0005828
CHEBI:9907,MONDO:0005388
CHEBI:50275,MONDO:0004247
CHEBI:7447,UMLS:C1997728
UNII:WP58SVM6R4,MONDO:0001586
CHEBI:471744,MONDO:0040732
UNII:420K487FSG,MONDO:0006031
DrugCentral:5090,MONDO:0005920
CHEBI:29013,MONDO:0040732
CHEBI:59582,MONDO:0006554
CHEBI:5001,UMLS:C0342882
CHEBI:3077,MONDO:0006545
CHEBI:90217,UMLS:C4543165
CHEBI:9434,MONDO:0005044
UNII:5384HK7574,MONDO:0850129
CHEBI:6919,MONDO:0100338
CHEBI:17650,MONDO:0015253
CHEBI:59773,UMLS:C1318955
CHEBI:27375,MONDO:0007254
CHEBI:49662,MONDO:0011827
CHEBI:59269,MONDO:0011786
CHEBI:7601,MONDO:0004247
CHEBI:17698,MONDO:0018059
CHEBI:31629,UMLS:C0473960
CHEBI:17650,MONDO:0004773
UNII:43K1W2T1M6,MONDO:0005055
CHEBI:9667,MONDO:0005101
CHEBI:229658,MONDO:0006733
CHEBI:9570,MONDO:0008170
CHEBI:553473,MONDO:0020920
CHEBI:81296,MONDO:0010826
CHEBI:17154,MONDO:0019975
CHEBI:204734,MONDO:0005011
CHEBI:135772,MONDO:0005834
CHEBI:5106,MONDO:0004979
CHEBI:124991,MONDO:0100338
PUBCHEM.COMPOUND:6321415,MONDO:0004652
CHEBI:6923,UMLS:C0011974
CHEBI:28787,UMLS:C1997351
CHEBI:50885,MONDO:0015898
UNII:090IP5RV8F,MONDO:0005230
CHEBI:17833,MONDO:0004926
CHEBI:17630,MONDO:0021108
CHEBI:15551,MONDO:0001126
CHEBI:27436,UMLS:C1562029
CHEBI:8805,MONDO:0005148
UNII:CU8D464EDW,MONDO:0006909
CHEBI:51230,MONDO:0006875
CHEBI:4672,MONDO:0005627
CHEBI:17401,MONDO:0001528
CHEBI:94402,HP:0031417
CHEBI:17750,UMLS:C4076057
CHEBI:82699,MONDO:0005230
CHEBI:17026,MONDO:0001410
CHEBI:3374,MONDO:0021667
CHEBI:6827,MONDO:0005961
CHEBI:4779,MONDO:0005642
CHEBI:136048,HP:0005202
CHEBI:134725,MONDO:0005148
CHEBI:4724,UMLS:C0002921
CHEBI:161680,HP:0002783
CHEBI:17833,MONDO:0006670
UNII:60RD0234VE,MONDO:0019471
CHEBI:471744,UMLS:C0276089
CHEBI:3547,UMLS:C0554628
CHEBI:29013,MONDO:0005631
CHEBI:29013,UMLS:C4076057
CHEBI:2549,MONDO:0001358
CHEMBL.COMPOUND:CHEMBL2108183,UMLS:C3266799
CHEBI:8654,MONDO:0005654
CHEBI:4672,MONDO:0009831
UNII:D99YVK4L0X,MONDO:0001056
CHEBI:75984,UMLS:C0741292
CHEBI:76263,MONDO:0005578
CHEBI:76612,MONDO:0100280
CHEBI:28934,MONDO:0005520
CHEBI:6792,MONDO:0004849
CHEBI:534,MONDO:0001356
CHEBI:17026,UMLS:C0153685
CHEBI:28001,MONDO:0700217
CHEBI:50690,HP:0003124
CHEBI:94848,MONDO:0004980
CHEBI:17650,MONDO:0015898
UNII:90ZX3Q3FR7,MONDO:0022205
CHEBI:31859,MONDO:0021107
CHEBI:6709,MONDO:0002317
CHEBI:18208,MONDO:0006836
CHEBI:18208,MONDO:0005976
CHEBI:17439,MONDO:0024298
CHEBI:3437,MONDO:0005044
UNII:75G4TW236W,EFO:0006911
CHEBI:134936,MONDO:0004979
CHEBI:79033,UMLS:C0032743
CHEBI:29013,MONDO:0019186
CHEBI:63605,MONDO:0004989
CHEMBL.COMPOUND:CHEMBL3084722,HP:0011484
CHEBI:31949,HP:0004308
CHEBI:72289,MONDO:0005109
CHEBI:135933,UMLS:C1960644
CHEBI:17303,UMLS:C0002915
CHEBI:4551,MONDO:0005252
CHEBI:134870,MONDO:0002050
CHEBI:8080,MONDO:0011122
CHEBI:2637,MONDO:0700217
CHEBI:135611,NCIT:C50743
CHEBI:41879,MONDO:0005306
CHEBI:100246,UMLS:C1112209
CHEBI:8382,MONDO:0005301
PUBCHEM.COMPOUND:122173807,MONDO:0042233
CHEBI:2676,HP:0005202
CHEBI:6375,MONDO:0001126
CHEBI:6504,MONDO:0004985
CHEBI:16962,HP:0011123
CHEBI:204734,MONDO:0004980
CHEBI:7915,MONDO:0017169
CHEBI:17439,MONDO:0001356
CHEBI:68642,MONDO:0008315
CHEBI:29013,MONDO:0004789
CHEBI:100241,HP:0002783
CHEBI:17650,MONDO:0011438
UNII:55MOB566V7,UMLS:C0729518
CHEBI:15409,MONDO:0024343
CHEBI:34683,MONDO:0009891
CHEBI:51235,UMLS:C0221765
UNII:E3B2GI648A,UMLS:C0238217
CHEBI:5280,MONDO:0025598
CHEBI:135342,MONDO:0002009
CHEBI:31232,MONDO:0005044
CHEBI:553473,UMLS:C0275665
GO:0030520,MONDO:0008159
CHEBI:8310,MONDO:0100338
CHEBI:3479,UMLS:C0554628
CHEBI:8093,NCIT:C78302
CHEBI:42355,MONDO:0005808
CHEBI:9421,UMLS:C0742964
CHEBI:8232,MONDO:0004264
CHEBI:15641,UMLS:C0520676
CHEBI:4392,MONDO:0006019
CHEBI:3504,UMLS:C0276027
CHEBI:471744,MONDO:0005247
CHEBI:2676,UMLS:C0554628
CHEBI:194135,MONDO:0006032
CHEBI:91408,UMLS:C3805232
CHEBI:31199,MONDO:0015758
CHEBI:8065,MONDO:0005642
CHEBI:27732,HP:0012531
CHEBI:7954,MONDO:0005010
CHEBI:28864,MONDO:0002307
CHEBI:4786,UMLS:C3698411
CHEBI:100241,UMLS:C0275550
CHEBI:34838,MONDO:0007254
CHEBI:15551,UMLS:C0404328
CHEBI:45924,MONDO:0019345
CHEBI:27810,HP:0000989
CHEBI:50845,MONDO:0019365
CHEBI:3515,MONDO:0005970
UNII:0J8RN2W0HK,MONDO:0011438
CHEBI:42355,MONDO:0005077
CHEBI:471744,UMLS:C0343402
CHEBI:16469,DOID:14275
CHEBI:5138,MONDO:0001247
CHEBI:59269,MONDO:0005324
CHEBI:75283,MONDO:0005446
CHEBI:6637,UMLS:C0426639
CHEBI:27953,MONDO:0005041
PUBCHEM.COMPOUND:92043599,UMLS:C1998329
UNII:7K5O7P6QIU,MONDO:0018905
CHEBI:49566,MONDO:0002258
CHEBI:28901,MONDO:0005062
CHEBI:50819,HP:0500005
CHEBI:9667,HP:0012027
CHEBI:17650,HP:0410028
CHEBI:42355,MONDO:0005297
CHEBI:16684,MONDO:0004982
CHEBI:135612,MONDO:0004979
CHEBI:135767,MONDO:0013600
CHEBI:6367,UMLS:C2711653
CHEBI:26833,MONDO:0005318
CHEBI:59750,MONDO:0004980
CHEBI:16134,MONDO:0024343
CHEBI:59788,MONDO:0005492
UNII:704G17JK68,MONDO:0001126
CHEBI:5775,MONDO:0005252
UNII:4RA0KN46E0,UMLS:C3889038
CHEBI:8382,MONDO:0005002
CHEBI:178199,MONDO:0005233
UNII:2URQ2N32W3,HP:0002918
CHEBI:50841,MONDO:0005090
