drug,disease
UNII:37CQ2C7X93,MONDO:0018088
CHEBI:90936,MONDO:0005233
CHEBI:132233,MONDO:0011122
CHEBI:8378,MONDO:0005265
CHEBI:82405,MONDO:0011438
CHEBI:15365,MONDO:0005068
CHEBI:6504,HP:0012531
CHEBI:6888,MONDO:0015614
CHEBI:50694,UMLS:C0275652
CHEBI:135772,MONDO:0005808
CHEBI:83527,MONDO:0002009
CHEBI:554446,MONDO:0006669
CHEBI:6950,MONDO:0002009
CHEBI:157175,UMLS:C0149966
CHEBI:8874,MONDO:0004975
CHEBI:41879,MONDO:0019438
CHEBI:6847,MONDO:0005044
CHEBI:6443,HP:0000132
CHEBI:94759,MONDO:0004668
CHEBI:3499,UMLS:C0520775
CHEBI:2676,UMLS:C0577708
CHEBI:45783,MONDO:0016586
CHEBI:131716,MONDO:0004652
CHEBI:41879,MONDO:0006955
CHEBI:16714,HP:0012531
CHEBI:2637,UMLS:C0349774
CHEBI:31597,MONDO:0005178
CHEBI:32151,EFO:0006865
CHEBI:8459,MONDO:0010481
CHEBI:177504,HP:0002140
CHEBI:27375,MONDO:0005627
CHEBI:68540,MONDO:0005301
UNII:Q6U6J48BWY,MONDO:0018150
CHEBI:15544,HP:0010882
CHEBI:6888,MONDO:0006955
CHEBI:16469,HP:0000134
CHEBI:6432,MONDO:0005645
CHEBI:133011,MONDO:0005249
CHEBI:45863,MONDO:0002087
CHEBI:59269,NCIT:C78302
UNII:5C1222PBE2,MONDO:0006964
CHEBI:135918,MONDO:0019471
CHEBI:135351,MONDO:0005391
CHEBI:44185,MONDO:0008903
UNII:15C2VL427D,UMLS:C0339507
CHEBI:4792,UMLS:C0002915
UNII:FYS6T7F842,MONDO:0006559
CHEBI:161680,UMLS:C3163829
CHEBI:92769,MONDO:0008233
CHEBI:8357,UMLS:C0849907
CHEBI:17630,MONDO:0004652
CHEBI:44185,UMLS:C0748052
CHEBI:18258,MONDO:0018612
CHEBI:72564,MONDO:0100342
CHEBI:17561,MONDO:0003781
CHEBI:5109,MONDO:0004980
UNII:1GA689N629,MONDO:0007186
CHEBI:3479,MONDO:0100338
UNII:M89N0Q7EQR,UMLS:C0278678
CHEBI:31677,UMLS:C2894027
CHEBI:134901,MONDO:0005667
CHEBI:135493,MONDO:0005644
CHEBI:4496,MONDO:0008159
CHEBI:3561,MONDO:0044212
CHEBI:2453,HP:0032157
CHEBI:63619,MONDO:1030011
CHEBI:6820,MONDO:0005492
CHEBI:85083,MONDO:0005354
CHEBI:5391,MONDO:0004946
CHEBI:50690,MONDO:0018473
CHEBI:291342,MONDO:0011786
CHEBI:17650,MONDO:0007179
CHEBI:135632,UMLS:C0677659
UNII:D959AE5USF,MONDO:0041751
CHEBI:22907,MONDO:0002974
CHEBI:134966,MONDO:0016532
CHEBI:18208,UMLS:C0041912
CHEBI:75178,HP:0030788
CHEBI:2682,MONDO:0019359
CHEBI:16914,MONDO:0011438
